Year,Inflow_m3,SeaSalinity_kg_m3,SeaArea_m2,SeaVolume_m3,InflowSalinity_kg_m3,BrackishAddedSalinity_kg_m3,EvapPondSalinity_kg_m3,Evaporation_m,Gamma,Qb_m3,Qp_m3,EA
2004,1.52E+09,46,9.81E+08,9.80E+09,2.5,2,2.5,1.80E+00,0.05,2.20E+09,8.50E+08,1.77E+09
2005,1.59E+09,47,9.76E+08,9.70E+09,2.52,2,2.5,1.80E+00,0.05,2.17E+09,8.67E+08,1.76E+09
2006,1.54E+09,48,9.74E+08,9.70E+09,2.53,2,2.5,1.80E+00,0.05,2.17E+09,8.65E+08,1.75E+09
2007,1.53E+09,49,9.66E+08,9.60E+09,2.54,2,2.5,1.80E+00,0.05,2.18E+09,8.63E+08,1.74E+09
2008,1.49E+09,50,9.56E+08,9.50E+09,2.55,2,2.5,1.80E+00,0.05,2.18E+09,8.46E+08,1.72E+09
2009,1.36E+09,50.5,9.49E+08,9.40E+09,2.56,2,2.5,1.80E+00,0.05,2.22E+09,8.29E+08,1.71E+09
2010,1.51E+09,52.8,9.38E+08,9.30E+09,2.57,2,2.5,1.80E+00,0.05,2.17E+09,8.78E+08,1.69E+09
2011,1.49E+09,53.6,9.37E+08,9.30E+09,2.58,2,2.5,1.80E+00,0.05,2.18E+09,8.64E+08,1.69E+09
2012,1.61E+09,54.4,9.35E+08,9.20E+09,2.59,2,2.5,1.80E+00,0.05,2.14E+09,9.06E+08,1.68E+09
2013,1.46E+09,54.7,9.35E+08,9.20E+09,2.6,2,2.5,1.80E+00,0.05,2.19E+09,8.53E+08,1.68E+09
2014,1.40E+09,56.7,9.28E+08,9.10E+09,2.61,2,2.5,1.80E+00,0.05,2.20E+09,8.56E+08,1.67E+09
2015,1.46E+09,59.2,9.15E+08,9.00E+09,2.63,2,2.5,1.80E+00,0.05,2.18E+09,8.72E+08,1.65E+09
2016,1.15E+09,61.2,9.10E+08,8.90E+09,2.65,2,2.5,1.80E+00,0.05,2.27E+09,7.64E+08,1.64E+09
2017,1.10E+09,63.3,9.02E+08,8.80E+09,2.66,2,2.5,1.80E+00,0.05,2.28E+09,7.63E+08,1.62E+09
2018,1.08E+09,65.5,8.93E+08,8.80E+09,2.67,2,2.5,1.80E+00,0.05,2.28E+09,7.70E+08,1.61E+09
2019,1.07E+09,68.6,8.81E+08,8.70E+09,2.68,2,2.5,1.80E+00,0.05,2.27E+09,7.52E+08,1.59E+09
2020,1.05E+09,74,8.72E+08,8.60E+09,2.7,2,2.5,1.80E+00,0.05,2.27E+09,7.50E+08,1.57E+09
2021,1.03E+09,74,8.60E+08,8.50E+09,2.71,2,2.5,1.80E+00,0.05,2.26E+09,7.70E+08,1.55E+09
2022,1.01E+09,74,8.47E+08,8.40E+09,2.72,2,2.5,1.80E+00,0.05,2.27E+09,7.60E+08,1.52E+09
2023,9.87E+08,73,8.34E+08,8.30E+09,2.73,2,2.5,1.80E+00,0.05,2.28E+09,7.77E+08,1.50E+09
2024,9.09E+08,78,8.20E+08,8.20E+09,2.74,2,2.5,1.80E+00,0.05,2.28E+09,7.49E+08,1.48E+09
2025,8.80E+08,82,8.10E+08,8.10E+09,2.75,2,2.5,1.80E+00,0.05,2.28E+09,7.36E+08,1.46E+09